id,event_type
36,et50
36,et50
37,et50
37,et46
38,et46
39,et50
40,et50
40,et50
41,et46
42,et50
42,et46
43,et46
43,et50
44,et46
44,et50
45,et50
46,et46
46,et50
47,et46
48,et46
48,et50
49,et46
50,et50
50,et46
51,et50
52,et46
53,et50
53,et50
54,et50
54,et50
55,et46
55,et50
55,et46
56,et46
56,et50
56,et50
57,et50
57,et46
58,et50
58,et46
59,et50
60,et46
61,et55
62,et50
63,et50
64,et50
64,et46
65,et46
65,et50
66,et46
66,et50
67,et46
67,et50
68,et50
68,et46
69,et46
69,et50
69,et46
69,et50
70,et46
71,et50
71,et46
72,et46
73,et42
73,et50
74,et50
75,et50
75,et46
75,et50
76,et50
76,et50
77,et46
77,et50
78,et50
78,et46
79,et50
79,et46
80,et50
81,et50
81,et50
82,et46
82,et50
83,et46
84,et50
84,et46
85,et50
85,et46
85,et50
85,et50
85,et46
86,et50
86,et50
87,et46
87,et50
88,et50
88,et50
88,et50
89,et50
89,et50
90,et50
90,et46
91,et50
91,et46
92,et50
92,et50
93,et50
93,et50
94,et50
95,et46
95,et46
96,et46
97,et69
97,et70
98,et69
98,et55
99,et70
100,et69
101,et70
102,et69
102,et70
103,et70
104,et69
105,et55
106,et69
107,et46
107,et70
107,et69
108,et70
109,et69
109,et70
110,et69
110,et70
111,et70
111,et69
112,et70
112,et69
113,et69
113,et70
113,et70
114,et69
114,et69
115,et70
116,et69
117,et70
118,et69
118,et70
119,et70
119,et69
120,et70
121,et69
121,et69
122,et70
123,et70
123,et69
124,et69
125,et70
126,et70
126,et70
127,et69
128,et69
129,et70
130,et70
130,et69
131,et70
132,et70
133,et69
133,et69
134,et70
134,et70
135,et69
136,et69
136,et70
137,et70
137,et69
138,et69
138,et70
138,et69
138,et70
139,et70
139,et69
140,et70
140,et69
141,et55
142,et46
142,et46
143,et55
143,et46
144,et55
145,et55
146,et55
146,et55
147,et55
148,et55
148,et55
149,et55
150,et55
150,et55
151,et55
152,et46
153,et46
154,et46
155,et55
155,et44
156,et46
156,et46
156,et46
157,et46
158,et46
158,et46
158,et46
159,et46
159,et50
160,et50
161,et46
162,et46
163,et50
164,et46
165,et50
166,et50
167,et46
168,et46
169,et50
169,et50
169,et50
170,et46
171,et46
171,et50
172,et50
172,et46
173,et50
173,et46
174,et50
174,et50
175,et46
176,et50
176,et46
177,et50
177,et50
178,et55
178,et46
179,et50
180,et50
181,et46
181,et50
182,et50
183,et46
183,et50
184,et46
184,et46
185,et50
185,et46
185,et46
186,et50
187,et50
187,et46
187,et46
188,et50
189,et46
189,et50
190,et46
191,et50
192,et46
193,et50
194,et50
195,et46
196,et46
196,et50
197,et50
197,et46
198,et50
199,et37
200,et46
200,et50
201,et89
201,et50
202,et50
202,et50
203,et46
203,et50
204,et89
205,et50
206,et50
206,et46
207,et50
208,et50
209,et46
209,et46
210,et89
211,et50
212,et89
