id,type_of_faults
36,B
37,B
38,B
39,A
40,A
41,B
42,A
43,A
44,A
45,A
46,A
47,A
48,A
49,A
50,A
51,A
52,B
53,B
54,A
55,A
56,A
57,B
58,A
59,A
60,A
61,B
62,B
63,A
64,A
65,A
66,A
67,B
68,A
69,A
70,A
71,A
72,A
73,A
74,B
75,B
76,A
77,B
78,A
79,B
80,B
81,A
82,A
83,B
84,A
85,A
86,A
87,B
88,A
89,B
90,A
91,B
92,A
93,B
94,B
95,B
96,B
97,B
98,A
99,A
100,B
101,B
102,B
103,B
104,B
105,B
106,A
107,A
108,B
109,A
110,B
111,B
112,A
113,B
114,B
115,B
116,B
117,B
118,B
119,B
120,B
121,B
122,B
123,B
124,D
125,B
126,B
127,B
128,B
129,B
130,D
131,B
132,B
133,D
134,B
135,B
136,B
137,B
138,B
139,B
140,B
141,B
142,B
143,B
144,A
145,A
146,B
147,A
148,A
149,A
150,A
151,A
152,A
153,A
154,A
155,A
156,A
157,A
158,A
159,B
160,A
161,A
162,A
163,A
164,A
165,A
166,A
167,A
168,B
169,B
170,B
171,A
172,A
173,A
174,A
175,A
176,B
177,A
178,A
179,A
180,A
181,B
182,A
183,A
184,B
185,B
186,A
187,A
188,A
189,B
190,A
191,A
192,A
193,A
194,A
195,A
196,A
197,A
198,A
199,A
200,A
201,A
202,A
203,A
204,A
205,B
206,B
207,A
208,B
209,A
210,A
211,B
212,A
213,A
214,A
215,A
216,A
217,B
218,A
219,B
220,B
221,A
222,B
223,B
224,B
225,B
226,B
227,B
228,B
229,B
230,A
231,A
232,B
233,B
234,B
235,A
236,A
237,B
238,A
239,A
240,A
241,A
242,B
243,A
244,A
245,A
246,B
247,A
248,A
249,B
250,B
251,B
252,B
253,B
254,A
255,A
256,B
257,A
258,B
259,B
260,A
261,A
262,B
263,A
264,B
265,B
266,A
267,A
268,B
269,B
270,A
271,B
272,B
273,B
274,B
275,B
276,A
277,A
278,A
279,B
280,A
281,A
282,B
283,B
284,A
285,B
286,B
287,B
288,B
289,B
290,B
291,A
292,A
293,B
294,B
295,B
296,B
297,A
298,B
299,B
300,A
301,B
302,B
303,B
304,B
305,B
306,B
307,B
308,B
309,B
310,B
311,A
312,B
313,B
314,B
315,B
316,B
317,B
318,B
319,B
320,A
321,B
322,B
323,B
324,B
325,B
326,B
327,B
328,B
329,B
330,B
331,B
332,B
333,B
334,B
335,A
336,B
337,B
338,B
339,B
340,B
341,B
342,B
343,B
344,B
345,B
346,B
347,B
348,B
349,B
350,B
351,B
352,B
353,B
354,B
355,A
356,B
357,A
358,A
359,B
360,B
361,B
362,B
363,B
364,A
365,B
366,B
367,B
368,B
369,B
370,B
371,B
372,B
373,B
374,B
375,B
376,B
377,B
378,A
379,A
380,E
381,A
382,E
383,A
384,A
385,B
386,B
387,B
388,B
389,A
390,A
391,A
392,A
393,A
394,A
395,A
396,A
397,A
398,A
399,A
400,A
401,A
402,A
403,A
404,A
405,B
406,A
407,A
408,A
409,A
410,A
411,B
412,B
413,A
414,B
415,A
416,A
417,A
418,A
419,A
420,A
421,A
422,A
423,B
424,B
425,B
426,B
427,B
428,B
429,A
430,A
431,A
432,A
433,A
434,A
435,A
436,A
437,A
438,A
439,A
440,A
441,A
442,A
443,A
444,A
445,A
446,E
447,A
448,A
449,E
450,A
451,B
452,A
453,B
454,A
455,A
456,B
457,A
458,A
459,B
460,A
461,A
462,D
463,A
464,A
465,A
466,A
467,A
468,A
469,B
470,A
471,A
472,A
473,A
474,A
475,A
476,A
477,A
478,A
479,A
480,A
481,A
482,A
483,A
484,A
485,A
486,A
487,A
488,A
489,A
490,A
491,A
492,A
493,A
494,A
495,A
496,A
497,A
498,A
499,A
500,A
501,A
502,A
503,B
504,A
505,A
506,A
507,A
508,A
509,A
510,A
511,A
512,A
513,A
514,A
515,A
516,A
517,A
518,A
519,A
520,A
521,B
522,A
523,B
524,B
525,A
526,D
527,D
528,A
529,A
530,A
531,A
532,A
533,A
534,A
535,A
536,A
537,A
538,A
539,D
540,A
541,A
542,A
543,A
544,A
545,A
546,A
547,A
548,B
549,A
550,A
551,A
552,A
553,A
554,A
555,D
556,B
557,A
558,A
559,B
560,A
561,A
562,A
563,A
564,A
565,A
566,A
567,A
568,A
569,A
570,B
571,B
572,A
573,A
574,A
575,A
576,A
577,A
578,A
579,A
580,A
581,A
582,A
583,A
584,A
585,A
586,A
587,A
588,A
589,A
590,A
591,B
592,B
593,A
594,A
595,B
596,A
597,A
598,A
599,A
600,A
601,A
602,A
603,B
604,A
605,A
606,A
607,B
608,A
609,A
610,B
611,B
612,A
613,B
614,A
615,A
616,A
617,A
618,B
619,A
620,B
621,A
622,B
623,B
624,A
625,B
626,A
627,B
628,B
629,B
630,B
631,B
632,B
633,B
634,A
635,A
636,B
637,A
638,B
639,A
640,B
641,A
642,A
643,A
644,A
645,B
646,A
647,B
648,A
649,A
650,B
651,A
652,A
653,A
654,A
655,A
656,B
657,B
658,B
659,A
660,B
661,B
662,B
663,B
664,A
665,A
666,A
667,A
668,B
669,B
670,A
671,B
672,B
673,A
674,A
675,B
676,B
677,B
678,B
679,B
680,B
681,B
682,A
683,B
684,A
685,B
686,B
687,B
688,B
689,A
690,B
691,B
692,A
693,A
694,B
695,B
696,B
697,B
698,B
699,B
700,B
701,B
702,A
703,B
704,B
705,A
706,A
707,A
708,B
709,B
710,B
711,B
712,B
713,A
714,A
715,B
716,B
717,A
718,A
719,A
720,A
721,B
722,A
723,B
724,B
725,B
726,A
727,A
728,B
729,B
730,B
731,B
732,B
733,B
734,B
735,A
736,B
737,B
738,A
739,B
740,A
741,B
742,B
743,B
744,B
745,B
746,B
747,B
748,B
749,B
750,B
751,B
752,B
753,B
754,B
755,B
756,A
757,B
758,A
759,B
760,B
761,B
762,B
763,A
764,A
765,B
766,B
767,B
768,B
769,B
770,B
771,B
772,B
773,B
774,B
775,B
776,B
777,B
778,A
779,B
780,B
781,B
782,B
783,B
784,B
785,B
786,B
787,B
788,B
789,B
790,B
791,B
792,B
793,B
794,B
795,B
796,B
797,B
798,B
799,B
800,B
801,B
802,B
803,B
804,B
805,B
806,B
807,B
808,B
809,B
810,B
811,B
812,B
813,B
814,B
815,B
816,B
817,B
818,B
819,A
820,B
821,A
822,B
823,B
824,B
825,B
826,B
827,D
828,B
829,D
830,A
831,B
832,B
833,D
834,D
835,B
836,B
837,B
838,B
839,A
840,B
841,B
842,B
843,D
844,B
845,B
846,D
847,B
848,B
849,B
850,D
851,B
852,B
853,B
854,B
855,B
856,B
857,B
858,B
859,B
860,B
861,B
862,B
863,B
864,D
865,D
866,B
867,D
868,D
869,D
870,B
871,B
872,B
873,B
874,B
875,B
876,B
877,B
878,A
879,B
880,A
881,A
882,A
883,A
884,A
885,A
886,A
887,A
888,A
889,A
890,A
891,A
892,A
893,A
894,A
895,A
896,A
897,A
898,A
899,A
900,A
901,A
902,A
903,A
904,A
905,A
906,A
907,A
908,A
909,A
910,A
911,A
912,A
913,A
914,A
915,A
916,A
917,A
918,A
919,A
920,A
921,A
922,E
923,A
924,A
925,E
926,B
927,A
928,B
929,B
930,A
931,A
932,A
933,A
934,A
935,B
936,A
937,A
938,A
939,A
940,A
941,A
942,B
943,B
944,B
945,A
946,A
947,A
948,B
949,B
950,A
951,A
952,A
953,A
954,B
955,B
956,A
957,A
958,B
959,B
960,A
961,A
962,A
963,A
964,A
965,A
966,B
967,A
968,A
969,A
970,A
971,A
972,A
973,A
974,A
975,A
976,A
977,B
978,A
979,A
980,A
981,A
982,A
983,A
984,A
985,A
986,A
987,A
988,A
989,A
990,A
991,A
992,A
993,A
994,A
995,D
996,D
997,A
998,A
999,A
1000,B
1001,A
1002,A
1003,B
1004,D
1005,A
1006,A
1007,A
1008,A
1009,A
1010,A
1011,A
1012,B
1013,A
1014,A
1015,B
1016,B
1017,B
1018,B
1019,A
1020,A
1021,A
1022,B
1023,A
1024,A
1025,A
1026,A
1027,B
1028,A
1029,A
1030,A
1031,A
1032,A
1033,A
1034,A
1035,A
1036,A
1037,A
1038,A
1039,B
1040,A
1041,A
1042,A
1043,A
1044,A
1045,A
1046,A
1047,A
1048,A
1049,A
1050,A
1051,B
1052,A
1053,A
1054,A
1055,A
1056,A
1057,B
1058,A
1059,A
1060,B
1061,B
1062,B
1063,B
1064,B
1065,B
1066,B
1067,B
1068,A
1069,A
1070,A
1071,A
1072,A
1073,B
1074,A
1075,A
1076,A
1077,A
1078,A
1079,A
1080,A
1081,A
1082,B
1083,A
1084,B
1085,A
1086,B
1087,B
1088,A
1089,D
1090,D
1091,A
1092,A
1093,B
1094,A
1095,A
1096,A
1097,A
1098,A
1099,A
1100,A
1101,A
1102,A
1103,A
1104,A
1105,A
1106,A
1107,A
1108,A
1109,A
1110,A
1111,A
1112,A
1113,A
1114,A
1115,A
1116,A
1117,A
1118,A
1119,A
1120,A
1121,A
1122,A
1123,D
1124,B
1125,A
1126,A
1127,A
1128,A
1129,A
1130,A
1131,D
1132,A
1133,A
1134,A
1135,A
1136,A
1137,A
1138,A
1139,A
1140,A
1141,A
1142,A
1143,A
1144,A
1145,A
1146,A
1147,A
1148,A
1149,A
1150,A
1151,A
1152,A
1153,A
1154,A
1155,A
1156,A
1157,A
1158,B
1159,B
1160,A
1161,B
1162,A
1163,A
1164,A
1165,A
1166,D
1167,A
1168,B
1169,A
1170,A
1171,A
1172,B
1173,A
1174,A
1175,A
1176,A
1177,A
1178,A
1179,A
1180,A
1181,A
1182,A
1183,A
1184,A
1185,A
1186,B
1187,B
1188,D
1189,B
1190,B
1191,A
1192,A
1193,A
1194,D
1195,A
1196,D
1197,A
1198,B
1199,B
1200,A
1201,A
1202,A
1203,A
1204,A
1205,A
1206,A
1207,A
1208,A
1209,A
1210,A
1211,A
1212,B
1213,B
1214,A
1215,A
1216,A
1217,A
1218,A
1219,A
1220,A
1221,A
1222,A
1223,A
1224,B
1225,A
1226,A
1227,A
1228,B
1229,A
1230,A
1231,A
1232,A
1233,B
1234,B
1235,B
1236,B
1237,A
1238,D
1239,B
1240,A
1241,A
1242,A
1243,B
1244,B
1245,B
1246,B
1247,B
1248,B
1249,B
1250,A
1251,B
1252,B
1253,B
1254,A
1255,A
1256,A
1257,A
1258,B
1259,A
1260,A
1261,A
1262,B
1263,A
1264,A
1265,A
1266,B
1267,A
1268,B
1269,B
1270,B
1271,A
1272,A
1273,A
1274,B
1275,A
1276,B
1277,B
1278,A
1279,A
1280,B
1281,B
1282,B
1283,B
1284,B
1285,B
1286,A
1287,B
1288,B
1289,B
1290,A
1291,B
1292,B
1293,B
1294,B
1295,B
1296,B
1297,B
1298,A
1299,A
1300,B
1301,B
1302,B
1303,B
1304,B
1305,B
1306,A
1307,B
1308,B
1309,B
1310,B
1311,B
1312,B
1313,B
1314,B
1315,B
1316,B
1317,B
1318,B
1319,B
1320,B
1321,B
1322,B
1323,B
1324,B
1325,B
1326,B
1327,B
1328,B
1329,A
1330,B
1331,B
1332,B
1333,B
1334,B
1335,B
1336,B
1337,B
1338,B
1339,B
1340,B
1341,B
1342,B
1343,B
1344,B
1345,B
1346,B
1347,B
1348,B
1349,E
1350,A
1351,B
1352,A
1353,A
1354,A
1355,A
1356,A
1357,B
1358,A
1359,A
1360,B
1361,A
1362,A
1363,A
1364,B
1365,A
1366,A
1367,A
1368,A
1369,A
1370,A
1371,A
1372,A
1373,A
1374,B
1375,A
1376,A
1377,B
1378,B
1379,A
1380,B
1381,A
1382,A
1383,A
1384,A
1385,A
1386,A
1387,A
1388,A
1389,A
1390,A
1391,B
1392,B
1393,A
1394,B
1395,A
1396,A
1397,A
1398,A
1399,B
1400,A
1401,A
1402,A
1403,B
1404,A
1405,A
1406,A
1407,A
1408,A
1409,A
1410,A
1411,A
1412,B
1413,A
1414,A
1415,A
1416,A
1417,A
1418,A
1419,A
1420,A
1421,A
1422,A
1423,A
1424,A
1425,B
1426,A
1427,A
1428,B
1429,A
1430,B
1431,A
1432,B
1433,B
1434,B
1435,A
1436,A
1437,A
1438,A
1439,A
1440,A
1441,A
1442,B
1443,A
1444,A
1445,B
1446,A
1447,A
1448,A
1449,A
1450,A
1451,B
1452,A
1453,A
1454,B
1455,B
1456,A
1457,B
1458,B
1459,A
1460,A
1461,A
1462,A
1463,B
1464,A
1465,B
1466,A
1467,B
1468,A
1469,A
1470,A
1471,A
1472,B
1473,D
1474,A
1475,A
1476,A
1477,A
1478,A
1479,A
1480,A
1481,A
1482,B
1483,B
1484,B
1485,B
1486,B
1487,B
1488,A
1489,A
1490,B
1491,A
1492,B
1493,A
1494,A
1495,B
1496,B
1497,A
1498,A
1499,A
1500,A
1501,A
1502,B
1503,D
1504,D
1505,D
1506,D
1507,D
1508,A
1509,B
1510,A
1511,A
1512,A
1513,A
1514,A
1515,A
1516,A
1517,A
1518,A
1519,B
1520,A
1521,A
1522,B
1523,D
1524,B
1525,B
1526,B
1527,A
1528,B
1529,B
1530,A
1531,B
1532,B
1533,B
1534,A
1535,A
1536,A
1537,A
1538,B
1539,B
1540,A
1541,A
1542,B
