id,log_feature,volume
36,FT 68,6
36,FT 68,7
36,FT 68,1
37,FT 172,2
37,FT 56,1
37,FT 193,4
37,FT 71,3
37,FT 201,2
38,FT 56,1
39,FT 80,2
40,FT 80,2
40,FT 203,5
41,FT 82,8
41,FT 80,9
42,FT 82,9
42,FT 201,5
42,FT 80,15
42,FT 203,5
43,FT 56,3
43,FT 80,16
43,FT 172,2
43,FT 201,12
43,FT 82,2
43,FT 68,11
44,FT 201,2
44,FT 193,11
44,FT 80,2
44,FT 71,10
44,FT 201,4
45,FT 80,5
45,FT 56,1
46,FT 172,2
46,FT 80,3
46,FT 201,1
46,FT 201,3
46,FT 80,3
46,FT 111,2
47,FT 201,75
48,FT 80,50
48,FT 80,3
49,FT 201,2
49,FT 68,4
50,FT 80,2
50,FT 201,2
51,FT 201,3
52,FT 80,11
52,FT 68,4
53,FT 193,7
53,FT 71,4
53,FT 201,1
53,FT 80,3
53,FT 201,12
53,FT 80,9
53,FT 82,5
53,FT 203,7
54,FT 193,3
54,FT 71,2
54,FT 80,1
54,FT 219,1
55,FT 134,1
55,FT 201,2
56,FT 71,1
56,FT 82,7
56,FT 201,5
56,FT 193,1
57,FT 203,7
57,FT 80,5
57,FT 80,1
57,FT 82,1
57,FT 203,1
57,FT 201,1
58,FT 80,17
58,FT 203,18
58,FT 201,20
58,FT 82,18
59,FT 159,1
60,FT 201,5
61,FT 193,6
62,FT 198,6
62,FT 203,3
63,FT 82,4
64,FT 201,3
64,FT 80,4
64,FT 56,1
64,FT 201,2
64,FT 82,4
64,FT 80,3
64,FT 80,1
64,FT 56,2
64,FT 82,1
64,FT 82,2
64,FT 80,3
64,FT 201,1
64,FT 56,1
64,FT 80,1
64,FT 111,5
64,FT 201,1
65,FT 82,3
65,FT 80,16
65,FT 203,1
66,FT 203,14
66,FT 201,8
66,FT 111,1
66,FT 80,5
67,FT 82,16
67,FT 82,2
67,FT 80,4
67,FT 201,1
68,FT 111,2
68,FT 201,3
68,FT 80,7
68,FT 203,1
69,FT 82,2
69,FT 80,2
69,FT 201,1
69,FT 80,4
69,FT 82,4
69,FT 203,2
69,FT 201,2
70,FT 82,2
70,FT 80,2
71,FT 203,2
71,FT 198,1
72,FT 76,1
73,FT 203,6
73,FT 201,7
73,FT 82,4
73,FT 80,6
74,FT 80,5
75,FT 82,3
75,FT 82,2
75,FT 80,1
75,FT 172,1
75,FT 56,1
75,FT 82,12
75,FT 80,2
75,FT 203,5
76,FT 201,1
76,FT 172,1
76,FT 56,1
77,FT 80,1
77,FT 82,3
78,FT 80,10
78,FT 80,1
78,FT 172,1
78,FT 56,1
78,FT 82,1
78,FT 172,2
79,FT 82,6
79,FT 203,1
80,FT 80,4
80,FT 80,3
81,FT 82,2
81,FT 82,1
81,FT 80,5
81,FT 203,1
81,FT 80,3
81,FT 82,3
82,FT 80,2
82,FT 82,2
82,FT 80,1
83,FT 82,1
83,FT 203,1
84,FT 82,1
