id,resourve_type
36,RT8
36,RT8
37,RT8
38,RT8
39,RT8
40,RT8
41,RT8
42,RT8
43,RT8
44,RT8
45,RT8
46,RT8
47,RT8
48,RT8
49,RT8
50,RT8
51,RT8
52,RT8
53,RT8
54,RT8
55,RT8
55,RT8
55,RT8
56,RT8
56,RT2
56,RT8
57,RT8
58,RT8
59,RT8
60,RT8
61,RT8
62,RT8
63,RT8
64,RT8
65,RT8
66,RT8
67,RT8
68,RT8
69,RT1
69,RT8
69,RT8
70,RT8
71,RT8
72,RT8
73,RT8
74,RT8
75,RT8
75,RT8
75,RT8
76,RT8
77,RT8
77,RT8
78,RT8
79,RT8
80,RT8
81,RT8
82,RT8
83,RT8
84,RT8
85,RT8
85,RT8
85,RT8
85,RT8
86,RT8
86,RT8
87,RT8
88,RT8
89,RT8
90,RT8
91,RT8
92,RT8
93,RT8
93,RT8
94,RT2
95,RT2
96,RT2
97,RT2
98,RT2
99,RT2
100,RT8
101,RT2
102,RT2
103,RT2
104,RT2
105,RT2
106,RT2
107,RT2
108,RT2
109,RT2
110,RT2
111,RT2
112,RT2
113,RT2
113,RT2
114,RT2
115,RT2
116,RT2
117,RT2
118,RT2
119,RT2
119,RT2
120,RT2
121,RT2
122,RT2
123,RT2
124,RT2
125,RT2
126,RT2
126,RT2
127,RT2
128,RT2
129,RT8
130,RT8
131,RT2
132,RT8
133,RT2
134,RT2
135,RT2
136,RT2
137,RT2
138,RT2
138,RT2
139,RT2
140,RT2
141,RT2
142,RT2
143,RT8
144,RT8
145,RT8
146,RT2
147,RT8
148,RT8
149,RT8
150,RT8
151,RT8
152,RT8
153,RT8
154,RT8
155,RT8
156,RT8
157,RT8
158,RT8
158,RT8
159,RT8
160,RT8
161,RT8
162,RT8
163,RT8
164,RT8
165,RT8
166,RT8
167,RT8
168,RT8
169,RT8
170,RT2
171,RT8
172,RT8
173,RT8
174,RT8
175,RT8
176,RT8
177,RT8
178,RT8
179,RT8
180,RT8
181,RT8
182,RT8
183,RT8
184,RT8
185,RT8
185,RT8
185,RT8
186,RT2
187,RT8
188,RT8
189,RT8
190,RT8
191,RT8
192,RT2
193,RT8
194,RT8
195,RT8
196,RT8
197,RT2
198,RT8
199,RT2
200,RT8
200,RT8
201,RT8
202,RT8
202,RT8
203,RT8
204,RT8
205,RT8
206,RT8
207,RT8
208,RT8
209,RT8
210,RT8
211,RT8
212,RT8
213,RT8
214,RT8
215,RT1
216,RT8
217,RT8
218,RT8
218,RT8
219,RT8
220,RT8
221,RT8
222,RT8
223,RT8
224,RT8
224,RT8
225,RT8
226,RT8
227,RT8
228,RT8
229,RT8
230,RT8
231,RT8
232,RT8
233,RT8
234,RT8
235,RT8
236,RT8
237,RT8
238,RT8
239,RT8
240,RT8
241,RT8
242,RT8
243,RT8
243,RT8
244,RT8
245,RT8
245,RT8
246,RT8
247,RT8
248,RT2
249,RT8
249,RT8
249,RT8
250,RT8
250,RT8
251,RT8
252,RT8
252,RT8
253,RT8
254,RT8
255,RT8
256,RT8
257,RT8
258,RT8
259,RT8
260,RT8
261,RT8
262,RT8
263,RT8
264,RT8
265,RT8
266,RT8
267,RT8
268,RT8
269,RT8
270,RT8
271,RT8
272,RT8
273,RT8
274,RT8
275,RT8
276,RT8
277,RT8
278,RT8
279,RT8
280,RT8
281,RT8
282,RT8
283,RT8
284,RT8
285,RT8
285,RT8
285,RT8
285,RT8
286,RT8
287,RT8
288,RT8
289,RT8
289,RT8
290,RT8
290,RT8
291,RT8
292,RT8
293,RT8
294,RT8
295,RT8
296,RT8
296,RT8
297,RT8
298,RT8
298,RT8
299,RT8
300,RT8
301,RT8
302,RT8
303,RT8
304,RT8
305,RT8
306,RT8
307,RT8
308,RT8
309,RT8
310,RT8
311,RT8
312,RT8
313,RT8
314,RT8
315,RT8
316,RT8
317,RT8
318,RT8
319,RT8
320,RT8
321,RT8
322,RT8
322,RT8
323,RT8
324,RT8
325,RT8
326,RT8
327,RT8
328,RT8
329,RT8
330,RT8
331,RT8
332,RT8
332,RT8
333,RT8
334,RT8
335,RT8
335,RT8
336,RT8
336,RT8
337,RT8
338,RT8
